Final URL,Repository Path,Bytes,KB,Format,Width,Height,Git Tracked,Reference Location
https://www.qiuxiaomiao.com/assets/operations/douyin-hot-topic-w480.webp,public/assets/operations/douyin-hot-topic-w480.webp,11112,10.9,webp,480,206,yes,generated responsive candidate for /assets/operations/douyin-hot-topic.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-hot-topic-w960.webp,public/assets/operations/douyin-hot-topic-w960.webp,27556,26.9,webp,960,411,yes,generated responsive candidate for /assets/operations/douyin-hot-topic.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-hot-topic.jpg,public/assets/operations/douyin-hot-topic.jpg,57344,56.0,jpeg,1179,505,yes,src/App.jsx:107 (JPG fallback)
https://www.qiuxiaomiao.com/assets/operations/douyin-hot-topic.webp,public/assets/operations/douyin-hot-topic.webp,48370,47.2,webp,1179,505,yes,src/App.jsx:107
https://www.qiuxiaomiao.com/assets/operations/douyin-saving-w480.webp,public/assets/operations/douyin-saving-w480.webp,11012,10.8,webp,480,200,yes,generated responsive candidate for /assets/operations/douyin-saving.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-saving-w960.webp,public/assets/operations/douyin-saving-w960.webp,24042,23.5,webp,960,401,yes,generated responsive candidate for /assets/operations/douyin-saving.webp
https://www.qiuxiaomiao.com/assets/operations/douyin-saving.jpg,public/assets/operations/douyin-saving.jpg,51721,50.5,jpeg,1179,492,yes,src/App.jsx:122 (JPG fallback)
https://www.qiuxiaomiao.com/assets/operations/douyin-saving.webp,public/assets/operations/douyin-saving.webp,40432,39.5,webp,1179,492,yes,src/App.jsx:122
https://www.qiuxiaomiao.com/assets/operations/x-profile-w480.webp,public/assets/operations/x-profile-w480.webp,21750,21.2,webp,480,398,yes,generated responsive candidate for /assets/operations/x-profile.webp
https://www.qiuxiaomiao.com/assets/operations/x-profile.jpg,public/assets/operations/x-profile.jpg,49957,48.8,jpeg,667,553,yes,src/App.jsx:142 (JPG fallback)
https://www.qiuxiaomiao.com/assets/operations/x-profile.webp,public/assets/operations/x-profile.webp,52534,51.3,webp,667,553,yes,src/App.jsx:142
https://www.qiuxiaomiao.com/assets/sardine-run-w480.avif,public/assets/sardine-run-w480.avif,12685,12.4,avif,480,263,yes,generated responsive candidate for /assets/sardine-run.webp
https://www.qiuxiaomiao.com/assets/sardine-run-w480.webp,public/assets/sardine-run-w480.webp,21024,20.5,webp,480,263,yes,generated responsive candidate for /assets/sardine-run.webp
https://www.qiuxiaomiao.com/assets/sardine-run-w828.avif,public/assets/sardine-run-w828.avif,32507,31.7,avif,828,454,yes,generated responsive candidate for /assets/sardine-run.webp
https://www.qiuxiaomiao.com/assets/sardine-run.jpg,public/assets/sardine-run.jpg,56890,55.6,jpeg,828,454,yes,src/App.jsx:781 (JPG fallback)
https://www.qiuxiaomiao.com/assets/sardine-run.webp,public/assets/sardine-run.webp,55678,54.4,webp,828,454,yes,src/App.jsx:781
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-mobile-w480.avif,public/assets/sea-hero-pixel-mobile-w480.avif,38915,38.0,avif,480,853,yes,generated responsive candidate for /assets/sea-hero-pixel-mobile.webp | index.html:9
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-mobile-w480.webp,public/assets/sea-hero-pixel-mobile-w480.webp,67686,66.1,webp,480,853,yes,generated responsive candidate for /assets/sea-hero-pixel-mobile.webp
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-mobile-w941.avif,public/assets/sea-hero-pixel-mobile-w941.avif,113938,111.3,avif,941,1672,yes,generated responsive candidate for /assets/sea-hero-pixel-mobile.webp | index.html:9
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-mobile.jpg,public/assets/sea-hero-pixel-mobile.jpg,182233,178.0,jpeg,941,1672,yes,src/App.jsx:594 (JPG fallback) | src/App.jsx:596 (JPG fallback) | src/App.jsx:598
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-mobile.webp,public/assets/sea-hero-pixel-mobile.webp,152266,148.7,webp,941,1672,yes,src/App.jsx:594 | src/App.jsx:596
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-w1446.avif,public/assets/sea-hero-pixel-w1446.avif,86955,84.9,avif,1446,1086,yes,generated responsive candidate for /assets/sea-hero-pixel.webp | index.html:10
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-w480.avif,public/assets/sea-hero-pixel-w480.avif,16713,16.3,avif,480,360,yes,generated responsive candidate for /assets/sea-hero-pixel.webp | index.html:10
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-w480.webp,public/assets/sea-hero-pixel-w480.webp,27942,27.3,webp,480,360,yes,generated responsive candidate for /assets/sea-hero-pixel.webp
https://www.qiuxiaomiao.com/assets/sea-hero-pixel-w960.avif,public/assets/sea-hero-pixel-w960.avif,46459,45.4,avif,960,721,yes,generated responsive candidate for /assets/sea-hero-pixel.webp | index.html:10
